Блюдо/Напиток         | Стоимость (руб) | Время готовки (мин)
-----------------------|-----------------|---------------------
Суши                  | 300             | 20
Рамен                 | 400             | 30
Темпура               | 350             | 25
Сашими                | 500             | 15
Удон                  | 250             | 20
Гёдза                 | 200             | 15
Окономияки            | 450             | 40
Такояки               | 150             | 20
Сукияки               | 600             | 45
Якитори               | 300             | 25
Пекинская утка        | 1200            | 120
Димсам                | 250             | 30
Кисло-сладкая свинина | 400             | 40
Лапша Чоу Мейн        | 300             | 25
Кунг Пао Цыпленок     | 350             | 35
Вонтоны               | 200             | 20
Ма По Тофу            | 300             | 30
Хот-пот               | 800             | 60
Баоцзы                | 150             | 20
Жареный рис           | 250             | 15
Саке                  | 500             | 0
Зелёный чай           | 100             | 5
Боба-чай              | 200             | 10
Улун                  | 150             | 5
Мисо-суп              | 250             | 20
Матча                 | 300             | 5
Женьшень-чай          | 200             | 5
Сяосинцзю             | 400             | 0
Пуэр                  | 350             | 5
Рисовое вино          | 450             | 0
